Salesprice,Seller,Fueltype,Gearbox,Mileage,Year,Cartype,Drivetype,Horspower,Color,Brand,Modell,Region
188800,Företag,Bensin,Automat,11773,2014,Halvkombi,Tvåhjulsdriven,230,Silver,Volkswagen,Golf,Östergötland
11000,Privat,Bensin,Manuell,29500,2000,Kombi,Tvåhjulsdriven,150,Silver,Volkswagen,Passat,Östergötland
67900,Företag,Bensin,Manuell,17100,2011,Kombi,Tvåhjulsdriven,123,Svart,Volkswagen,Golf,Östergötland
165000,Företag,Bensin,Automat,12000,2015,Familjebuss,Tvåhjulsdriven,141,Mörkgrå,Volkswagen,CrossTouran,Östergötland
67000,Privat,Diesel,Manuell,25786,2013,Kombi,Fyrhjulsdriven,105,Röd,Volkswagen,Golf,Östergötland
399800,Företag,Diesel,Automat,14973,2019,SUV,Fyrhjulsdriven,286,Svart,Volkswagen,Touareg,Östergötland
154900,Företag,Bensin,Automat,6995,2019,Halvkombi,Tvåhjulsdriven,96,Silver,Volkswagen,Polo,Östergötland
279900,Företag,Miljöbränsle/Hybrid,Automat,8584,2021,Kombi,Tvåhjulsdriven,218,Svart,Volkswagen,Passat,Östergötland
219900,Företag,Bensin,Automat,10589,2021,Kombi,Tvåhjulsdriven,131,Silver,Volkswagen,Golf,Östergötland
339900,Företag,Diesel,Automat,9471,2022,Kombi,Fyrhjulsdriven,200,Mörkgrå,Volkswagen,Passat,Östergötland
14000,Privat,Bensin,Manuell,24021,2001,Halvkombi,Tvåhjulsdriven,75,Brun,Volkswagen,Golf,Östergötland
179800,Företag,Diesel,Automat,15762,2014,Familjebuss,Tvåhjulsdriven,141,Silver,Volkswagen,Sharan,Östergötland
214900,Företag,Diesel,Automat,13998,2018,Kombi,Fyrhjulsdriven,191,Vit,Volkswagen,Passat,Östergötland
174800,Företag,Bensin,Manuell,3211,2018,Halvkombi,Tvåhjulsdriven,111,Svart,Volkswagen,Golf,Östergötland
259900,Privat,Bensin,Automat,5400,2020,Halvkombi,Tvåhjulsdriven,150,Vit,Volkswagen,Golf,Östergötland
127900,Företag,Diesel,Automat,20068,2014,SUV,Fyrhjulsdriven,177,Vit,Volkswagen,Tiguan,Östergötland
179800,Företag,Miljöbränsle/Hybrid,Automat,16797,2019,Kombi,Tvåhjulsdriven,157,Vit,Volkswagen,Passat,Östergötland
54000,Privat,Diesel,Manuell,22049,2011,Halvkombi,Tvåhjulsdriven,90,Röd,Volkswagen,Polo,Östergötland
199800,Företag,Bensin,Automat,14834,2016,Halvkombi,Tvåhjulsdriven,230,Vit,Volkswagen,GTI,Östergötland
27900,Företag,Bensin,Automat,13800,2000,Halvkombi,Tvåhjulsdriven,116,Svart,Volkswagen,Golf,Östergötland
55000,Privat,Diesel,Automat,24215,2011,Coupé,Fyrhjulsdriven,170,Vit,Volkswagen,Passat,Östergötland
339900,Företag,Miljöbränsle/Hybrid,Automat,5999,2022,Kombi,Tvåhjulsdriven,157,Silver,Volkswagen,Passat,Östergötland
234700,Företag,Bensin,Automat,7735,2018,SUV,Fyrhjulsdriven,150,Silver,Volkswagen,Tiguan,Östergötland
39900,Företag,Bensin,Manuell,18 600,2 008,Halvkombi,Tvåhjulsdriven,141,Röd,Volkswagen,Golf,Skåne
259000,Företag,Diesel,Automat,16 600,2 018,SUV,Fyrhjulsdriven,240,Svart,Volkswagen,Tiguan,Skåne
110000,Privat,Bensin,Manuell,12 000,2 016,Halvkombi,Tvåhjulsdriven,111,Svart,Volkswagen,Golf,Skåne
389000,Företag,Miljöbränsle/Hybrid,Automat,500,2 022,SUV,Tvåhjulsdriven,245,Grå,Volkswagen,Tiguan,Skåne
49900,Privat,Diesel,Manuell,24 600,2 012,Halvkombi,Tvåhjulsdriven,105,Röd,Volkswagen,Golf,Skåne
180000,Privat,Bensin,Automat,17 770,2 018,SUV,Fyrhjulsdriven,150,Vit,Volkswagen,Tiguan,Skåne
149500,Företag,Bensin,Manuell,6 411,2 017,Halvkombi,Tvåhjulsdriven,111,Silver,Volkswagen,Golf,Skåne
144000,Företag,Bensin,Manuell,7 400,2 017,Halvkombi,Tvåhjulsdriven,111,Vit,Volkswagen,Golf,Skåne
59900,Privat,Miljöbränsle/Hybrid,Manuell,16 800,2 012,Kombi,Tvåhjulsdriven,150,Silver,Volkswagen,Passat,Skåne
40000,Privat,Diesel,Automat,33 588,2 012,Kombi,Fyrhjulsdriven,170,Vit,Volkswagen,Passat,Skåne
220000,Privat,El,Automat,10 500,2 021,Halvkombi,Tvåhjulsdriven,204,Vit,Volkswagen,ID.3,Skåne
229500,Företag,Diesel,Automat,17 594,2 022,Kombi,Fyrhjulsdriven,200,Svart,Volkswagen,Passat,Skåne
